Date;Indonesian rupiah (IDR)
28-02-2005;4031177.92
31-03-2005;4048425.0
29-04-2005;4165291.53
31-05-2005;3940382.91
30-06-2005;4266094.57
29-07-2005;4206345.0
31-08-2005;4462475.0
30-09-2005;4869742.5
31-10-2005;4761636.25
30-11-2005;4971368.52
30-12-2005;5047920.0
31-01-2006;5338571.88
28-02-2006;5105470.0
31-03-2006;5288634.0
28-04-2006;5662370.0
31-05-2006;6043515.0
30-06-2006;5682850.5
31-07-2006;5736775.0
31-08-2006;5671979.5
29-09-2006;5528081.25
31-10-2006;5501671.88
30-11-2006;5927005.05
29-12-2006;5683892.0
31-01-2007;5919550.0
28-02-2007;6065141.85
30-03-2007;6038468.75
30-04-2007;6149191.0
31-05-2007;5817874.41
29-06-2007;5877267.5
31-07-2007;6139237.5
31-08-2007;6310080.0
28-09-2007;6794735.0
31-10-2007;7182081.5
30-11-2007;7341395.0
31-12-2007;7830996.88
31-01-2008;8536831.13
29-02-2008;8806647.5
31-03-2008;8592867.5
30-04-2008;8032362.0
30-05-2008;8250761.25
30-06-2008;8576905.0
31-07-2008;8349210.0
29-08-2008;7621950.0
30-09-2008;8340835.0
31-10-2008;7965175.0
28-11-2008;9794362.5
31-12-2008;9480275.0
30-01-2009;10463910.0
27-02-2009;11404960.0
31-03-2009;10590157.5
30-04-2009;9349201.25
29-05-2009;10037895.0
30-06-2009;9538908.75
31-07-2009;9319575.0
31-08-2009;9631440.0
30-09-2009;9623923.75
30-10-2009;9932000.0
30-11-2009;11116716.25
31-12-2009;10217062.5
29-01-2010;10083975.0
26-02-2010;10345513.75
31-03-2010;10150492.25
30-04-2010;10629759.5
31-05-2010;11078812.5
30-06-2010;11276860.0
30-07-2010;10460796.5
31-08-2010;11257610.0
30-09-2010;11664975.0
29-10-2010;12036578.13
30-11-2010;12498539.0
31-12-2010;12663555.0
31-01-2011;12006696.0
28-02-2011;12447136.5
31-03-2011;12530092.5
29-04-2011;13150022.0
31-05-2011;13114795.75
30-06-2011;12910415.25
29-07-2011;13846321.25
31-08-2011;15474595.5
30-09-2011;14239800.0
31-10-2011;15244005.0
30-11-2011;15906060.0
30-12-2011;13882342.5
31-01-2012;15678560.0
29-02-2012;15965400.0
30-03-2012;15201900.0
30-04-2012;15175813.13
31-05-2012;14645200.0
29-06-2012;15013911.25
31-07-2012;15352230.0
31-08-2012;15718447.5
28-09-2012;16996320.0
31-10-2012;16510995.0
30-11-2012;16558381.0
31-12-2012;15974156.25
31-01-2013;16214665.0
28-02-2013;15350469.75
29-03-2013;15530994.38
30-04-2013;14282352.5
31-05-2013;13659127.5
28-06-2013;11830600.0
31-07-2013;13509773.75
30-08-2013;15230670.0
30-09-2013;15360870.0
31-10-2013;14924790.0
29-11-2013;14989012.5
31-12-2013;14658765.0
31-01-2014;15274710.0
28-02-2014;15399338.5
31-03-2014;14674280.0
30-04-2014;14896992.75
30-05-2014;14599587.5
30-06-2014;15589325.0
31-07-2014;14879981.88
29-08-2014;15040060.63
30-09-2014;14823052.5
31-10-2014;14069961.25
28-11-2014;14434281.0
31-12-2014;14936310.0
30-01-2015;15964216.88
27-02-2015;15690950.0
31-03-2015;15520025.0
30-04-2015;15298990.63
29-05-2015;15755072.31
30-06-2015;15612357.5
31-07-2015;14858604.68
31-08-2015;15946750.0
